chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D11	0.0	mmu-mir-466d-5p	6128	no	D11H	None	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466d-5p	6128	no	D16H	0.705877828727	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466d-5p	6128	no	D16L	-0.904893452907	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466d-5p	6128	no	D18H	-1.27486607863	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466d-5p	6128	no	D2H	-2.42103267107	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466d-5p	6128	no	D21Ø	0.619656576123	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466d-5p	6128	no	D21L	-3.73633266882	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466d-5p	6128	no	D5H	-1.77622236515	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466d-5p	6128	no	D8H	-1.83561266456	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466d-5p	6128	no	1⁰iPSC	1.32508593925	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466d-5p	6128	no	2⁰iPSC	-1.2164470733	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466d-5p	6128	no	ESC	0.866629282744	ESC	ESC	ESC	
D0	0.0	mmu-mir-466e-5p	6128	no	2°MEF	-0.0026585504549	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466e-5p	6128	no	D11H	-3.5468389466	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466e-5p	6128	no	D16H	1.90381720631	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466e-5p	6128	no	D16L	2.09510654716	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466e-5p	6128	no	D18H	1.98816832737	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466e-5p	6128	no	D2H	2.81418379084	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466e-5p	6128	no	D21Ø	2.66928734387	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466e-5p	6128	no	D21L	-5.32129516762	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466e-5p	6128	no	D5H	1.92421735284	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466e-5p	6128	no	D8H	0.1643873357	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466e-5p	6128	no	1⁰iPSC	2.97909008442	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466e-5p	6128	no	2⁰iPSC	1.95347792803	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466e-5p	6128	no	ESC	3.62465649244	ESC	ESC	ESC	
D0	0.0	mmu-mir-466a-3p	6128	no	2°MEF	8.36839202693	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466a-3p	6128	no	D11H	10.8290150295	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466a-3p	6128	no	D16H	11.295639113	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466a-3p	6128	no	D16L	9.88828201093	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466a-3p	6128	no	D18H	10.8352909405	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466a-3p	6128	no	D2H	11.6426713658	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466a-3p	6128	no	D21Ø	10.860614822	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466a-3p	6128	no	D21L	11.535956909	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466a-3p	6128	no	D5H	10.6935211899	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466a-3p	6128	no	D8H	10.8602137256	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466a-3p	6128	no	1⁰iPSC	11.8043609695	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466a-3p	6128	no	2⁰iPSC	11.3026977146	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466a-3p	6128	no	ESC	11.35239941	ESC	ESC	ESC	
D0	0.0	mmu-mir-669d-3p	6128	no	2°MEF	2.43474676188	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669d-3p	6128	no	D11H	4.91259267174	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669d-3p	6128	no	D16H	5.11826087454	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669d-3p	6128	no	D16L	4.55108260716	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669d-3p	6128	no	D18H	4.68397659677	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669d-3p	6128	no	D2H	5.07082042547	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669d-3p	6128	no	D21Ø	5.16191462591	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669d-3p	6128	no	D21L	5.70937196626	D21L	Low Dox	Day 21	
