chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
7509379107_K	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.30529114636	81_LPS_24	NULL	NULL
7509379107_L	0.0	ILMN_1791759	6646	no	IFN	14.8577099914	113_IFN	NULL	NULL
7649558052_A	0.0	ILMN_1791759	6646	no	LPS 2 hours	15.0660392577	8_LPS_2	NULL	NULL
7649558052_B	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.5878497448	94_LPS_2	NULL	NULL
7649558052_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.7810666001	232_LPS_24	NULL	NULL
7649558052_D	0.0	ILMN_1791759	6646	no	IFN	14.6587677739	122_IFN	NULL	NULL
7649558052_E	0.0	ILMN_1791759	6646	no	IFN	14.7369182226	209_IFN	NULL	NULL
7649558052_F	0.0	ILMN_1791759	6646	no	IFN	14.8296038075	197_IFN	NULL	NULL
7649558052_G	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.02332275438	149_LPS_24	NULL	NULL
7649558052_H	0.0	ILMN_1791759	6646	no	untreated 24 hours	7.50943343786	182_UT_24	NULL	NULL
7649558052_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.55354144758	128_LPS_24	NULL	NULL
7649558052_J	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.8647406202	213_LPS_2	NULL	NULL
7649558052_K	0.0	ILMN_1791759	6646	no	untreated 24 hours	4.94999743838	278_UT_24	NULL	NULL
7649558052_L	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.1120252318	249_LPS_2	NULL	NULL
7649558069_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.7105395954	129_LPS_24	NULL	NULL
7649558069_B	0.0	ILMN_1791759	6646	no	IFN	15.0470440328	207_IFN	NULL	NULL
7649558069_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.5476876035	146_LPS_24	NULL	NULL
7649558069_D	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.2608232534	241_LPS_2	NULL	NULL
7649558069_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.5662754397	260_LPS_2	NULL	NULL
7649558069_F	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.0409882196	181_LPS_2	NULL	NULL
7649558069_G	0.0	ILMN_1791759	6646	no	IFN	15.0161279528	244_IFN	NULL	NULL
7649558069_H	0.0	ILMN_1791759	6646	no	IFN	14.8651845754	276_IFN	NULL	NULL
7649558069_I	0.0	ILMN_1791759	6646	no	IFN	14.8802146645	116_IFN	NULL	NULL
